char,male,female
须,4433,3877
眼,4429,8627
挥,4408,576
买,4403,8347
摇,4399,5278
垠,4380,2949
皎,4379,21016
钺,4375,1023
曌,4370,5963
澈,4344,2059
番,4343,4410
芒,4341,6473
傅,4322,800
赏,4321,3817
掌,4312,4137
沪,4310,837
屿,4310,3411
媛,4299,1603373
鹄,4290,1014
闫,4284,4326
镖,4281,108
凇,4274,670
沧,4272,177
秘,4271,6860
匀,4268,12386
冈,4260,195
桉,4250,1711
妍,4229,771690
朦,4214,23429
杞,4201,1488
网,4178,6516
取,4174,3363
熔,4156,8766
栎,4154,5103
塘,4153,664
舵,4151,449
菠,4139,2508
坎,4131,2801
钻,4131,5497
戴,4099,4087
荟,4088,53778
镓,4084,1635
姿,4079,155953
宛,4076,53678
镛,4054,361
骜,4052,423
囤,4049,36
顾,4018,1527
骑,4013,325
肯,4009,685
焦,4002,8477
皋,3996,113
史,3992,1432
奖,3983,541
汐,3977,15577
堤,3968,1198
聃,3963,3750
莎,3959,463875
璧,3947,5419
唱,3938,8307
翎,3918,17454
管,3878,1719
凉,3867,4978
颍,3831,23338
乡,3827,3000
鄂,3826,2226
蜜,3804,31937
兹,3781,1151
莱,3773,5467
恬,3770,63874
叫,3764,6442
评,3756,3245
劳,3752,906
皆,3746,766
赖,3744,798
企,3713,440
骆,3712,886
邑,3709,3427
钞,3701,586
旷,3695,774
巡,3690,1268
渔,3680,2028
岛,3673,442
裴,3663,6457
焓,3662,5076
覃,3660,2743
镒,3638,785
茶,3637,134544
琥,3629,425
飒,3624,17747
溯,3622,1552
韫,3622,8564
规,3611,576
率,3544,678
数,3530,2663
莘,3493,6239
巩,3490,626
追,3477,2140
晞,3471,6407
霈,3467,3740
飙,3459,90
蔡,3451,3272
循,3449,973
尕,3441,11351
庞,3431,390
闵,3430,5047
溶,3419,17456
郝,3396,1393
峙,3366,397
勰,3363,1573
婵,3343,548106
链,3342,4090
籽,3331,5503
坷,3326,2822
淡,3313,9551
接,3312,3092
锭,3291,1801
荻,3289,8809
翻,3286,9231
频,3283,6331
镝,3272,1239
棕,3270,557
檬,3269,8859
荐,3266,899
虓,3250,274
旌,3248,944
婉,3215,723991
夜,3206,4863
璜,3193,1571
堪,3191,399
敌,3184,438
纶,3171,568
还,3150,3991
娅,3146,399891
悟,3121,753
区,3110,675
栗,3107,3252
钇,3102,2179
荧,3102,26508
指,3102,519
弓,3101,183
昉,3086,3395
乌,3083,8524
佼,3079,7769
墩,3076,209
那,3076,12418
桀,3075,496
浏,3072,2068
目,3067,2582
彻,3050,313
荔,3035,32265
侦,3034,3307
冷,2990,10726
藻,2977,597
孚,2971,777
锵,2965,207
畔,2956,4391
羡,2954,6818
线,2949,11452
厦,2945,2737
末,2939,4812
漩,2939,8390
峡,2900,7247
湾,2888,12541
等,2886,7075
词,2884,2578
颀,2884,3416
索,2881,1949
沉,2877,5044
己,2867,1909
燮,2862,561
欲,2856,1863
浒,2855,103
菡,2841,60624
层,2836,8086
凭,2827,1628
翘,2813,6639
夷,2808,5002
漪,2805,29340
住,2796,558
殊,2787,4946
侣,2778,1272
杯,2766,1275
猷,2762,231
努,2748,5012
葱,2744,12353
谈,2739,1204
啊,2726,5330
抒,2714,7035
激,2713,843
串,2701,6409
纵,2700,403
谣,2657,9847
翁,2646,1058
邹,2645,1052
寄,2641,1362
排,2637,2215
桁,2624,304
洗,2619,902
栖,2618,4891
玻,2612,442
哓,2612,7149
种,2612,769
夯,2606,906
衣,2595,5798
虞,2595,1868
珀,2584,1019
医,2575,1748
漾,2559,3405
圭,2557,1429
漳,2556,120
翥,2545,704
囡,2530,50263
础,2529,412
塬,2521,1087
鎏,2519,1050
郴,2501,819
降,2497,599
伽,2493,4389
俨,2487,1074
铝,2484,419
亢,2480,724
眉,2476,46446
往,2467,1624
樾,2467,2793
始,2459,395
渲,2451,4181
级,2437,323
粲,2433,2989
汤,2422,529
及,2420,517
锶,2417,10270
沼,2414,492
绎,2413,1449
芙,2406,155921
渺,2404,4916
骧,2401,348
聂,2389,1590
锷,2377,248
旅,2373,707
苛,2372,3783
累,2365,1149
蔺,2365,2345
蝶,2361,156355
么,2360,31908
憬,2357,2440
猫,2353,3428
烘,2345,493
诣,2345,1258
烊,2335,837
榛,2335,1878
零,2334,2889
峤,2332,1223
值,2313,584
皞,2306,284
器,2306,159
淙,2303,791
贾,2288,1302
族,2287,772
迷,2284,17403
芋,2279,4515
妞,2277,119075
阜,2266,211
钉,2262,496
漠,2258,1107
衔,2249,506
檀,2246,1562
稷,2241,309
磐,2236,312
蘅,2230,2654
埔,2227,266
诏,2216,398
乖,2215,9747
琎,2215,1489
画,2213,12538
角,2212,1302
珞,2203,4431
兮,2202,9159
缤,2195,2275
戟,2182,414
呜,2175,1201
荀,2167,1984
炮,2151,180
靳,2148,1626
刊,2141,919
烂,2141,4067
芦,2141,3981
崔,2139,12533
玟,2131,26048
径,2127,1213
秩,2121,307
商,2119,1045
俸,2109,933
只,2094,6357
宥,2087,749
释,2086,1718
泱,2072,2515
垲,2070,195
薄,2067,611
潍,2063,1045
浠,2056,4048
暾,2049,322
恳,2038,413
丘,2037,621
涧,2021,985
舍,2019,4663
宫,2016,591
馗,2006,88
仝,1987,658
羚,1982,14660
缙,1968,513
绥,1966,1282
凛,1949,800
烯,1943,2377
蝉,1942,16197
兄,1938,33260
变,1927,102972
侗,1924,542
析,1921,1760
畴,1914,153
寓,1906,1229
核,1900,738
谟,1890,102
性,1872,853
棱,1867,1484
涣,1865,1685
莺,1864,83882
慢,1862,25509
岫,1862,2333
雳,1842,572
碰,1816,3036
嫩,1815,17128
邈,1813,2102
慨,1807,195
因,1804,5679
霓,1801,24351
油,1795,796
晁,1791,165
俄,1791,1390
玙,1791,7349
镪,1790,46
闲,1780,6801
甄,1779,4847
漂,1770,4731
蕤,1767,2942
楹,1758,4263
坊,1755,1242
下,1753,938
整,1744,2832
稚,1741,4325
蔼,1735,7691
丫,1730,44610
赠,1721,617
樱,1715,55726
鸾,1714,51126
濮,1702,378
辑,1697,527
谅,1688,520
认,1679,5646
墉,1669,103
泯,1648,753
钥,1639,6702
倜,1637,507
拼,1629,1109
而,1626,1739
铅,1618,835
佚,1617,1503
萃,1610,19572
墙,1603,362
胥,1596,408
咪,1593,43661
玫,1589,80315
折,1588,1511
塞,1586,1240
唤,1576,14279
犁,1575,1764
丝,1567,55551
骊,1561,5577
皮,1561,773
苒,1558,9439
邻,1538,1076
了,1520,4271
翟,1519,568
禅,1512,1842
菱,1510,21242
骢,1502,231
呼,1501,275
辕,1488,268
况,1484,717
熬,1475,105
刀,1470,897
桧,1470,2519
蓥,1461,6359
刁,1458,5451
瑚,1455,4029
彼,1446,138
绚,1440,9792
筹,1439,311
浴,1437,890
铣,1430,203
琤,1429,3210
圃,1423,478
浔,1421,891
咚,1420,613
哨,1415,1042
职,1411,329
烙,1405,298
轼,1404,133
费,1397,543
惺,1384,1052
沥,1374,2408
味,1373,4836
矛,1369,371
茵,1360,144069
悌,1356,293
絮,1352,10070
隐,1351,1504
符,1338,699
辞,1336,1545
堰,1332,2345
形,1321,1027
箐,1317,6999
擘,1314,241
危,1314,543
竺,1312,5050
轰,1311,250
禺,1311,507
蔓,1310,68495
缨,1310,9687
姝,1304,215606
绣,1304,19200
萨,1301,2685
僮,1294,1689
潺,1283,1684
恰,1276,2106
亘,1267,271
叠,1263,1339
恢,1256,132
绳,1251,358
条,1250,7988
逾,1248,792
蓁,1247,4071
获,1242,545
部,1241,135
婴,1241,5795
祜,1230,84
攸,1229,1322
税,1227,905
筝,1223,5146
玎,1221,2403
板,1220,2912
醉,1215,449
销,1214,563
岿,1212,193
璀,1211,2467
瑗,1211,11666
店,1208,1790
蕃,1208,789
苡,1205,4636
溟,1201,399
觅,1195,2494
檑,1191,206
陟,1183,200
癸,1181,414
帜,1170,399
勖,1169,290
泾,1159,536
洹,1158,552
岂,1155,176
钎,1145,1043
蜂,1141,3160
琏,1141,1466
榴,1141,16453
奂,1135,1354
诤,1131,570
沄,1128,1648
仡,1124,142
犀,1114,773
翕,1111,1197
泮,1110,854
遨,1107,130
监,1101,87
膑,1096,179
裘,1095,115
雀,1094,4597
鸟,1091,8799
媚,1087,355996
娱,1085,6774
睛,1081,13578
宬,1073,264
母,1071,2463
蹊,1069,567
兼,1067,439
倾,1067,1187
蒿,1064,289
跑,1063,419
姗,1062,269585
去,1060,645
邢,1052,726
锬,1044,197
锞,1042,394
调,1042,9525
楗,1032,66
捡,1018,911
株,1009,1587
药,1005,2164
叮,1003,1476
钤,996,724
读,991,209
纤,989,15196
涪,983,216
感,981,290
珽,981,430
涔,978,1674
焙,977,769
骝,976,86
鳞,971,532
似,971,1926
顼,971,322
浅,970,2673
顷,969,305
垄,958,481
鲍,953,65
玢,952,3973
婧,951,627251
璁,945,568
段,945,12707
刻,936,179
滩,934,345
铀,929,332
遐,916,2029
绰,914,681
虫,911,1052
砺,911,381
砾,909,1244
巾,906,6211
诒,904,482
泥,903,2648
枞,899,483
莞,897,7068
峄,895,149
邺,892,286
染,888,2837
砥,884,103
籍,883,535
络,876,381
蕙,868,40608
撼,867,89
胧,862,332
瑭,862,1072
页,862,1883
钩,861,121
濂,856,246
铱,855,3894
弥,853,1157
仍,853,3303
物,851,390
袭,850,299
抱,845,702
蒸,844,880
鹃,841,38423
麻,841,1235
琬,839,37641
旖,839,30523
泞,837,1078
塑,836,355
着,831,1129
醇,824,705
吓,795,11305
廖,794,490
厉,792,692
赜,792,205
甸,787,884
烛,787,930
憧,785,647
麓,784,829
甬,777,106
姬,774,112371
劝,768,8619
萁,760,2500
拿,753,1082
钳,752,679
牌,747,259
翡,744,5124
宿,744,474
阮,742,990
衿,734,1337
贰,730,2146
宅,727,361
秧,726,5138
颗,724,556
栾,720,3385
锥,719,619
茅,717,383
涓,715,19900
詹,714,665
奚,711,1041
娴,704,335284
疏,703,1356
琚,691,615
粹,689,877
崭,686,288
综,685,143
镁,684,5403
谌,682,308
壑,675,288
预,675,425
娄,668,278
拔,667,96
呵,667,855
溧,664,810
泫,664,595
觐,663,208
拜,662,339
霍,662,119
鹂,662,6793
尝,658,628
兑,650,343
巳,639,324
峨,637,755
滟,631,11097
廓,630,139
揆,626,40
聆,625,3868
椰,625,2702
涟,623,3132
姑,622,82877
浛,620,2222
阴,618,761
瑰,611,11460
磨,611,146
谛,603,313
崖,600,337
菜,599,28378
囿,592,154
肆,591,193
挪,588,2316
冒,587,129
姆,585,34625
陌,584,707
埕,583,106
椋,583,100
帷,581,363
系,579,376
档,577,777
胄,576,99
仉,574,49
濯,574,189
悄,573,1884
锣,570,136
鼐,570,82
濡,570,541
澧,567,307
婕,566,331679
戚,559,239
磬,558,934
嬴,558,793
瞿,556,265
谓,555,140
淯,553,463
钛,550,24
钫,547,942
制,545,48
斓,542,4936
泠,542,4312
鲤,541,519
柴,540,473
郊,534,355
偶,529,2649
诞,516,325
玚,515,751
缪,513,396
惕,508,304
荞,503,2719
隹,503,1007
狂,501,44
霭,496,2499
莆,495,215
浈,494,2519
荒,493,93
粼,493,598
沆,491,121
琇,491,3363
岽,489,83
幽,489,3640
镰,486,229
昳,483,4258
屈,482,304
瓶,477,3800
耒,475,166
瀑,473,137
漭,469,45
谧,467,1338
蛰,462,312
潋,459,776
汾,453,1289
鸳,453,10671
离,451,649
汭,447,545
桄,442,60
矩,439,60
棹,437,160
儆,436,222
跞,433,194
独,432,539
萤,432,5327
栅,431,1951
湉,429,4645
盐,429,399
攻,425,113
吹,422,488
诩,420,178
虑,417,266
绯,415,2047
属,415,453
滑,414,536
悍,413,16
趣,413,637
枨,411,90
剡,410,111
仇,408,218
涉,406,136
贫,404,380
隋,404,329
诸,400,114
眺,395,376
巢,393,124
皑,392,640
瓴,391,240
牟,389,146
仅,388,583
楣,387,1562
钐,387,926
偌,386,2526
鞠,384,1377
砂,384,999
玑,383,401
涂,381,113
酬,379,247
矫,373,437
楫,371,67
薏,371,4712
茳,370,211
枰,370,263
亓,370,559
珵,369,629
亩,363,248
膺,360,190
侥,359,291
拳,358,32
寇,357,173
漆,356,165
玳,355,706
瑕,355,10098
湍,349,105
彝,348,152
哗,346,673
杵,343,79
渌,343,541
鸯,342,9138
樽,336,66
楸,334,328
芩,333,8258
箕,330,104
讷,329,1585
酷,328,50
铛,324,355
衷,322,34
弩,319,55
皙,318,1527
璎,315,4767
凑,313,296
奭,313,72
纷,305,4715
镡,305,207
柜,304,73
浣,304,1377
鸢,304,270
纺,302,2321
邮,302,126
笳,300,520
嵌,300,1422
嫦,299,159246
份,296,811
笨,293,209
墀,293,82
褚,292,231
面,292,2139
藜,290,1369
哿,286,205
瞰,284,95
液,283,294
菀,280,7190
黠,279,606
隶,276,131
赈,276,27
示,275,192
稣,275,355
锈,274,1175
酒,273,435
兀,270,135
燧,265,62
纾,264,1643
榔,258,154
迥,257,69
綦,256,111
徕,255,84
潆,251,4575
娆,248,10948
漱,246,471
琲,244,1008
晌,242,168
阎,242,188
哉,241,167
洌,240,108
叨,239,78
揽,238,476
杼,238,146
驻,238,16
葭,233,1589
镳,232,8
荩,232,485
祠,230,72
茉,225,12347
铕,225,40
鼓,224,43
即,224,98
蓟,224,159
偿,219,342
烧,219,1002
娓,218,7708
黛,217,12643
钬,217,17
棂,217,334
旎,217,17832
阚,214,82
岍,214,192
迂,214,106
冼,211,68
遗,211,96
铳,210,16
郦,210,3167
矜,209,759
脱,208,219
妤,208,76959
楝,206,175
枳,205,287
俪,204,14224
镶,204,310
荠,200,832
履,199,271
晕,199,165
掀,198,116
橼,198,287
屋,194,604
嫣,192,91867
蓦,190,192
佾,190,204
熏,189,130
窦,188,193
价,188,79
敉,186,375
鏊,180,15
击,179,46
藐,179,455
俅,173,33
菩,172,606
徒,171,164
剧,170,165
隅,168,67
讴,165,155
郯,163,59
澹,161,160
组,161,185
嵋,159,1184
烤,156,14
蜓,156,1818
订,154,73
莨,153,50
妲,152,3698
眸,151,212
庥,149,32
俦,148,60
篮,148,784
甯,148,138
帧,146,383
晾,143,112
绛,142,435
谯,142,64
遴,141,71
呤,141,325
迭,139,153
鹦,139,718
埙,136,36
卞,134,187
莼,131,1322
侍,131,88
郇,131,64
镀,130,43
瞩,129,81
璃,128,359
湿,128,73
傥,126,25
鄢,126,207
谙,124,134
哆,123,180
湄,123,4607
佘,123,77
血,121,332
暴,120,34
逯,120,104
堵,117,45
仗,115,15
椤,114,46
佥,113,69
蕖,113,641
渚,112,35
锗,111,21
偈,110,18
邝,109,20
俚,109,207
被,108,328
洱,108,73
懈,108,124
萦,107,2599
耔,106,211
鋈,104,28
浸,103,144
乎,100,45
逑,99,148
菅,97,141
镧,97,288
阑,96,1192
訾,95,79
籁,94,56
裁,92,26
敷,91,85
隗,87,47
堇,86,234
每,85,429
嵊,85,13
嫡,83,1150
粽,83,74
圹,82,38
绫,82,874
俯,79,4
郜,78,14
睫,78,456
芑,77,115
钍,77,12
耆,76,11
旃,74,102
葶,73,3333
椎,73,26
炊,72,43
绂,72,26
娉,72,25809
暨,70,19
哼,69,22
嫔,68,7004
笺,67,110
萩,67,269
芗,64,454
雒,63,31
镘,63,1134
嫌,62,1697
邸,61,51
馆,60,7
苘,60,114
罄,60,122
窈,60,5156
昝,58,42
阙,57,36
铢,56,99
邴,55,5
惑,53,33
秣,50,15
苾,47,297
茆,47,25
铋,46,28
镞,46,11
蘩,45,102
臧,45,63
滠,44,7
棁,43,21
赭,41,16
坍,39,167
态,37,4
妆,36,2262
瓘,35,15
畹,35,168
儋,33,49
蚁,33,34
姊,33,1365
堙,31,40
蝗,30,9
稂,30,25
坑,28,5
篁,27,12
夹,26,13
镅,23,333
绶,20,10
鹧,20,7
嫱,19,5691
舢,17,4
镚,16,0
扈,16,2
鸶,15,402
胭,15,5641
诫,14,1
锯,14,2
艰,12,15
揭,12,12
纨,12,164
叆,11,34
渼,11,218
妩,11,1385
缃,11,72
蓠,10,48
眈,9,11
姘,9,257
怊,8,9
谔,8,2
揖,8,2
勾,7,3
龛,7,0
毋,6,10
擢,6,0
莓,5,538
邡,4,4
訇,4,6
邠,3,0
婀,3,1707
劫,3,5
粗,2,1
鹗,2,0
啬,2,7
彖,2,0
帐,2,0
粑,1,1
笪,1,0
郄,1,0
畲,1,0
诜,1,2
鹇,1,8
婞,1,349
荚,0,2
捏,0,1
屠,0,1
