char,male,female
侃,30245,3825
电,17070,3820
赏,4321,3817
卢,7460,3805
哈,15871,3802
瓶,477,3800
苛,2372,3783
寰,12523,3774
燊,38884,3767
聃,3963,3750
霈,3467,3740
耕,32193,3739
粟,5075,3729
邱,4484,3725
丞,54955,3717
浚,31625,3701
妲,152,3698
援,12243,3693
锴,75447,3688
淞,36047,3651
幽,489,3640
逊,17553,3633
粮,22943,3604
倬,7967,3586
祁,11414,3560
圻,6096,3506
迦,5844,3493
枭,26064,3478
兢,5065,3466
动,35822,3459
就,22789,3440
珅,10357,3432
猫,2353,3428
邑,3709,3427
颀,2884,3416
熊,34998,3411
屿,4310,3411
漾,2559,3405
彪,967676,3401
昉,3086,3395
栾,720,3385
取,4174,3363
琇,491,3363
比,5245,3339
渭,20583,3334
葶,73,3333
侦,3034,3307
仍,853,3303
疆,28678,3290
蔡,3451,3272
崴,8024,3271
右,10785,3265
栗,3107,3252
评,3756,3245
笃,17821,3225
琤,1429,3210
榜,63269,3175
坛,7113,3168
郦,210,3167
愚,13862,3161
蜂,1141,3160
涟,623,3132
接,3312,3092
樟,31101,3053
碰,1816,3036
遇,4568,3027
边,5893,3025
备,26759,3003
乡,3827,3000
粲,2433,2989
泗,7752,2964
垠,4380,2949
蕤,1767,2942
壁,5184,2918
聿,8288,2914
板,1220,2912
涯,5493,2911
岗,248584,2906
零,2334,2889
宙,26179,2878
骥,43685,2851
染,888,2837
狄,12847,2835
整,1744,2832
牙,8611,2828
淘,9947,2827
坷,3326,2822
轮,15571,2817
鲲,22267,2813
潜,14459,2805
坎,4131,2801
铠,27246,2796
樾,2467,2793
圳,38227,2775
归,5270,2770
澎,39218,2765
移,8834,2750
涌,46847,2746
覃,3660,2743
曜,19479,2743
助,19739,2739
厦,2945,2737
著,16016,2725
荞,503,2719
椰,625,2702
萨,1301,2685
浅,970,2673
质,12209,2668
涤,5052,2663
数,3530,2663
蘅,2230,2654
偶,529,2649
泥,903,2648
曹,9625,2641
韧,8680,2626
象,19389,2619
竣,33440,2615
祈,7732,2608
萦,107,2599
目,3067,2582
词,2884,2578
拓,32107,2571
苍,26699,2560
炬,27800,2552
浙,12270,2534
琮,8743,2530
偌,386,2526
桧,1470,2519
浈,494,2519
泱,2072,2515
菠,4139,2508
适,9256,2508
警,12396,2506
萁,760,2500
霭,496,2499
觅,1195,2494
驿,5220,2494
瓦,8551,2469
璀,1211,2467
母,1071,2463
憬,2357,2440
谭,6584,2412
枢,18774,2409
沥,1374,2408
玎,1221,2403
葛,6821,2400
渤,19131,2385
烯,1943,2377
讯,7969,2370
舰,29876,2358
蔺,2365,2345
堰,1332,2345
乘,11959,2344
岫,1862,2333
纺,302,2321
挪,588,2316
厅,7333,2294
缤,2195,2275
班,5120,2273
县,14009,2263
妆,36,2262
愈,5110,2256
侯,6718,2239
铨,53335,2237
鄂,3826,2226
浛,620,2222
排,2637,2215
恭,28536,2182
钇,3102,2179
药,1005,2164
舸,6858,2161
将,59469,2151
沣,12759,2150
贰,730,2146
追,3477,2140
面,292,2139
骋,14630,2136
第,7136,2118
畏,7389,2117
敖,17441,2114
恰,1276,2106
邈,1813,2102
宠,4788,2097
仑,23293,2072
浏,3072,2068
澈,4344,2059
操,27569,2056
绯,415,2047
气,8667,2041
恕,10896,2038
惊,6268,2034
候,6133,2033
遐,916,2029
渔,3680,2028
佶,5730,2026
镭,9023,2017
包,5347,1998
荀,2167,1984
汛,5367,1977
焜,24325,1967
筑,7273,1953
炽,31042,1951
栅,431,1951
索,2881,1949
似,971,1926
毫,51054,1921
梧,5862,1913
己,2867,1909
瞻,5785,1907
表,9342,1904
懋,11551,1893
悄,573,1884
页,862,1883
榛,2335,1878
劭,9659,1876
棚,31320,1869
虞,2595,1868
欲,2856,1863
禅,1512,1842
略,15498,1842
蜓,156,1818
槟,10546,1806
锭,3291,1801
店,1208,1790
界,32364,1777
犁,1575,1764
析,1921,1760
度,6188,1751
医,2575,1748
蒋,7451,1741
而,1626,1739
管,3878,1719
释,2086,1718
桉,4250,1711
婀,3,1707
嫌,62,1697
僮,1294,1689
涣,1865,1685
潺,1283,1684
涔,978,1674
沄,1128,1648
纾,264,1643
镓,4084,1635
凭,2827,1628
靳,2148,1626
往,2467,1624
垣,15224,1614
睦,7130,1610
酉,5915,1602
共,7574,1596
量,15761,1595
歧,16166,1591
聂,2389,1590
葭,233,1589
株,1009,1587
讷,329,1585
勰,3363,1573
璜,3193,1571
楣,387,1562
檀,2246,1562
溯,3622,1552
材,57873,1548
辞,1336,1545
笠,5531,1540
裔,4883,1536
受,4697,1528
顾,4018,1527
皙,318,1527
折,1588,1511
隐,1351,1504
佚,1617,1503
琎,2215,1489
晃,6284,1488
杞,4201,1488
棱,1867,1484
叮,1003,1476
琏,1141,1466
搏,16639,1463
绎,2413,1449
史,3992,1432
域,5596,1432
圭,2557,1429
龚,5863,1428
苟,17574,1427
嵌,300,1422
市,6670,1415
朕,20134,1401
郝,3396,1393
柄,15255,1392
箭,11935,1391
俄,1791,1390
妩,11,1385
识,5288,1380
浣,304,1377
鞠,384,1377
藜,290,1369
姊,33,1365
寄,2641,1362
泷,9465,1357
疏,703,1356
奂,1135,1354
夺,12227,1345
叠,1263,1339
谧,467,1338
衿,734,1337
莼,131,1322
攸,1229,1322
彰,21166,1320
翱,15014,1310
贾,2288,1302
角,2212,1302
产,14627,1300
汾,453,1289
绥,1966,1282
杯,2766,1275
侣,2778,1272
巡,3690,1268
诣,2345,1258
淏,12151,1254
砾,909,1244
笙,4748,1244
坊,1755,1242
塞,1586,1240
镝,3272,1239
焘,18344,1239
麻,841,1235
寓,1906,1229
峤,2332,1223
纲,63647,1220
径,2127,1213
谈,2739,1204
呜,2175,1201
堤,3968,1198
翕,1111,1197
充,6774,1195
载,11221,1193
阑,96,1192
储,5238,1190
倾,1067,1187
嵋,159,1184
辅,17045,1181
藩,10688,1178
锈,274,1175
铂,6765,1161
弥,853,1157
兹,3781,1151
嫡,83,1150
累,2365,1149
雕,6274,1147
谱,8369,1140
镘,63,1134
着,831,1129
稼,6308,1123
湃,5461,1110
拼,1629,1109
漠,2258,1107
总,7843,1104
塬,2521,1087
拿,753,1082
泞,837,1078
邻,1538,1076
俨,2487,1074
瑭,862,1072
极,7563,1070
翁,2646,1058
反,4483,1053
虫,911,1052
惺,1384,1052
邹,2645,1052
炅,4832,1051
鎏,2519,1050
商,2119,1045
伸,8863,1045
潍,2063,1045
钎,1145,1043
哨,1415,1042
奚,711,1041
形,1321,1027
钺,4375,1023
珀,2584,1019
鹄,4290,1014
琲,244,1008
隹,503,1007
烧,219,1002
砂,384,999
状,17040,999
阮,742,990
赣,6266,987
涧,2021,985
循,3449,973
弢,6360,967
敢,24836,966
择,6504,950
旌,3248,944
炉,10541,943
钫,547,942
懂,6705,938
封,8481,938
下,1753,938
磬,558,934
俸,2109,933
烛,787,930
钐,387,926
铸,31449,922
刊,2141,919
捡,1018,911
夯,2606,906
劳,3752,906
税,1227,905
洗,2619,902
庸,6905,900
荐,3266,899
刀,1470,897
镔,9625,895
铉,5341,894
浔,1421,891
浴,1437,890
固,12690,888
骆,3712,886
甸,787,884
蒸,844,880
粹,689,877
绫,82,874
绩,5503,863
报,11204,860
空,10745,857
呵,667,855
泮,1110,854
性,1872,853
铿,12169,849
激,2713,843
件,9344,838
沪,4310,837
烊,2335,837
铅,1618,835
荠,200,832
麓,784,829
郴,2501,819
份,296,811
盖,6191,810
溧,664,810
府,24676,803
傅,4322,800
凛,1949,800
赖,3744,798
罡,35173,796
油,1795,796
洞,4437,794
嬴,558,793
逾,1248,792
淙,2303,791
蕃,1208,789
镒,3638,785
篮,148,784
档,577,777
孚,2971,777
潋,459,776
旷,3695,774
皮,1561,773
犀,1114,773
族,2287,772
库,124005,770
焙,977,769
种,2612,769
皆,3746,766
阴,618,761
矜,209,759
峨,637,755
式,5330,755
泯,1648,753
悟,3121,753
樵,4623,751
玚,515,751
宥,2087,749
核,1900,738
驹,34650,732
盾,7884,729
邢,1052,726
亢,2480,724
钤,996,724
鹦,139,718
况,1484,717
旅,2373,707
陌,584,707
玳,355,706
醇,824,705
翥,2545,704
抱,845,702
符,1338,699
厉,792,692
寨,5232,686
肯,4009,685
绰,914,681
钳,752,679
率,3544,678
署,4625,676
区,3110,675
哗,346,673
凇,4274,670
詹,714,665
塘,4153,664
犇,15187,658
仝,1987,658
离,451,649
憧,785,647
去,1060,645
蕖,113,641
皑,392,640
技,4936,640
郅,6518,639
趣,413,637
珵,369,629
尝,658,628
巩,3490,626
丘,2037,621
锥,719,619
溥,6570,617
赠,1721,617
赋,8663,616
琚,691,615
咚,1420,613
薄,2067,611
捍,7995,608
菩,172,606
黠,279,606
屋,194,604
降,2497,599
粼,493,598
藻,2977,597
泫,664,595
宫,2016,591
钞,3701,586
详,6798,585
值,2313,584
仅,388,583
阶,8143,580
规,3611,576
挥,4408,576
雳,1842,572
诤,1131,570
璁,945,568
纶,3171,568
翟,1519,568
证,9596,568
蹊,1069,567
艇,7957,567
销,1214,563
燮,2862,561
亓,370,559
住,2796,558
棕,3270,557
颗,724,556
洹,1158,552
获,1242,545
汭,447,545
费,1397,543
危,1314,543
侗,1924,542
奖,3983,541
渌,343,541
濡,570,541
独,432,539
莓,5,538
滑,414,536
泾,1159,536
籍,883,535
鳞,971,532
身,6672,532
事,6503,532
汤,2422,529
辑,1697,527
沃,12156,521
笳,300,520
谅,1688,520
鲤,541,519
指,3102,519
及,2420,517
钲,6658,514
缙,1968,513
倜,1637,507
禺,1311,507
衔,2249,506
矿,13430,500
钉,2262,496
桀,3075,496
烘,2345,493
沼,2414,492
廖,794,490
吹,422,488
爵,9676,487
荩,232,485
枞,899,483
诒,904,482
垄,958,481
圃,1423,478
揽,238,476
宿,744,474
柴,540,473
漱,246,471
淯,553,463
睫,78,456
藐,179,455
芗,64,454
属,415,453
舵,4151,449
醉,1215,449
玻,2612,442
岛,3673,442
企,3713,440
兼,1067,439
敌,3184,438
矫,373,437
绛,142,435
酒,273,435
珽,981,430
每,85,429
琥,3629,425
预,675,425
骜,4052,423
铝,2484,419
跑,1063,419
匡,5023,417
货,6647,416
癸,1181,414
戟,2182,414
恳,2038,413
础,2529,412
锰,5784,412
胥,1596,408
慷,7264,405
纵,2700,403
鸶,15,402
玑,383,401
堪,3191,399
溟,1201,399
盐,429,399
帜,1170,399
诏,2216,398
峙,3366,397
缪,513,396
始,2459,395
锞,1042,394
弼,6039,391
庞,3431,390
物,851,390
茅,717,383
帧,146,383
砺,911,381
络,876,381
贫,404,380
濮,1702,378
眺,395,376
系,579,376
敉,186,375
矛,1369,371
帷,581,363
墙,1603,362
镛,4054,361
宅,727,361
璃,128,359
绳,1251,358
铛,324,355
郊,534,355
稣,275,355
塑,836,355
婞,1,349
骧,2401,348
滩,934,345
兑,650,343
偿,219,342
拜,662,339
崖,600,337
棂,217,334
镅,23,333
胧,862,332
血,121,332
铀,929,332
隋,404,329
职,1411,329
被,108,328
楸,334,328
诞,516,325
呤,141,325
骑,4013,325
巳,639,324
级,2437,323
暾,2049,322
顼,971,322
厂,20146,321
绅,6497,320
彻,3050,313
谛,603,313
磐,2236,312
蛰,462,312
筹,1439,311
镶,204,310
稷,2241,309
谌,682,308
澧,567,307
秩,2121,307
顷,969,305
桁,2624,304
屈,482,304
惕,508,304
袭,850,299
烙,1405,298
苾,47,297
凑,313,296
造,4879,295
液,283,294
悌,1356,293
侥,359,291
感,981,290
勖,1169,290
蒿,1064,289
壑,675,288
镧,97,288
崭,686,288
橼,198,287
枳,205,287
邺,892,286
皞,2306,284
娄,668,278
呼,1501,275
虓,3250,274
屯,5184,273
亘,1267,271
履,199,271
鸢,304,270
萩,67,269
钜,11724,268
辕,1488,268
拯,5533,268
虑,417,266
埔,2227,266
瞿,556,265
宬,1073,264
枰,370,263
牌,747,259
姘,9,257
轰,1311,250
锷,2377,248
亩,363,248
酬,379,247
濂,856,246
擘,1314,241
瓴,391,240
戚,559,239
堇,86,234
褚,292,231
骢,1502,231
猷,2762,231
镰,486,229
豹,86099,227
儆,436,222
脱,208,219
仇,408,218
渼,11,218
涪,983,216
莆,495,215
眸,151,212
阜,2266,211
茳,370,211
耔,106,211
笨,293,209
读,991,209
墩,3076,209
逵,10842,209
觐,663,208
俚,109,207
锵,2965,207
镡,305,207
鄢,126,207
檑,1191,206
哿,286,205
赜,792,205
佾,190,204
铣,1430,203
陟,1183,200
锬,1044,197
冈,4260,195
垲,2070,195
慨,1807,195
跞,433,194
窦,188,193
岿,1212,193
肆,591,193
蓦,190,192
岍,214,192
示,275,192
膺,360,190
濯,574,189
阎,242,188
卞,134,187
组,161,185
弓,3101,183
哆,123,180
炮,2151,180
膑,1096,179
刻,936,179
诩,420,178
沧,4272,177
岂,1155,176
楝,206,175
寇,357,173
赓,5236,169
晌,242,168
畹,35,168
坍,39,167
哉,241,167
耒,475,166
晁,1791,165
剧,170,165
漆,356,165
晕,199,165
徒,171,164
纨,12,164
澹,161,160
棹,437,160
场,5377,159
蓟,224,159
器,2306,159
讴,165,155
榔,258,154
囿,592,154
畴,1914,153
迭,139,153
彝,348,152
峄,895,149
逑,99,148
磨,611,146
牟,389,146
杼,238,146
镐,6056,145
浸,103,144
综,685,143
仡,1124,142
菅,97,141
谓,555,140
廓,630,139
彼,1446,138
甯,148,138
瀑,473,137
锣,570,136
涉,406,136
部,1241,135
兀,270,135
谙,124,134
轼,1404,133
恢,1256,132
隶,276,131
遨,1107,130
熏,189,130
冒,587,129
鳌,6121,128
邮,302,126
巢,393,124
懈,108,124
罄,60,122
钩,861,121
沆,491,121
漳,2556,120
霍,662,119
掀,198,116
芑,77,115
裘,1095,115
苘,60,114
诸,400,114
皋,3996,113
攻,425,113
涂,381,113
晾,143,112
綦,256,111
剡,410,111
笺,67,110
镖,4281,108
洌,240,108
埕,583,106
甬,777,106
迂,214,106
熬,1475,105
湍,349,105
箕,330,104
逯,120,104
砥,884,103
浒,2855,103
墉,1669,103
蘩,45,102
谟,1890,102
旃,74,102
椋,583,100
胄,576,99
铢,56,99
即,224,98
拔,667,96
遗,211,96
瞰,284,95
荒,493,93
飙,3459,90
枨,411,90
撼,867,89
馗,2006,88
侍,131,88
监,1101,87
骝,976,86
敷,91,85
祜,1230,84
徕,255,84
岽,489,83
墀,293,82
阚,214,82
鼐,570,82
瞩,129,81
杵,343,79
价,188,79
訾,95,79
叨,239,78
佘,123,77
粽,83,74
订,154,73
洱,108,73
柜,304,73
湿,128,73
祠,230,72
奭,313,72
缃,11,72
遴,141,71
迥,257,69
佥,113,69
冼,211,68
楫,371,67
隅,168,67
楗,1032,66
樽,336,66
鲍,953,65
谯,142,64
郇,131,64
臧,45,63
燧,265,62
俦,148,60
桄,442,60
矩,439,60
郯,163,59
籁,94,56
弩,319,55
邸,61,51
酷,328,50
莨,153,50
儋,33,49
仉,574,49
蓠,10,48
制,545,48
隗,87,47
击,179,46
椤,114,46
镪,1790,46
堵,117,45
乎,100,45
漭,469,45
狂,501,44
炊,72,43
镀,130,43
鼓,224,43
昝,58,42
揆,626,40
堙,31,40
铕,225,40
圹,82,38
阙,57,36
囤,4049,36
埙,136,36
渚,112,35
叆,11,34
暴,120,34
蚁,33,34
衷,322,34
惑,53,33
俅,173,33
拳,358,32
庥,149,32
雒,63,31
铋,46,28
鋈,104,28
赈,276,27
裁,92,26
绂,72,26
椎,73,26
稂,30,25
茆,47,25
傥,126,25
钛,550,24
哼,69,22
锗,111,21
棁,43,21
邝,109,20
暨,70,19
偈,110,18
钬,217,17
铳,210,16
悍,413,16
赭,41,16
驻,238,16
鏊,180,15
瓘,35,15
艰,12,15
秣,50,15
仗,115,15
郜,78,14
烤,156,14
夹,26,13
嵊,85,13
篁,27,12
揭,12,12
钍,77,12
眈,9,11
耆,76,11
镞,46,11
绶,20,10
毋,6,10
怊,8,9
蝗,30,9
镳,232,8
鹇,1,8
馆,60,7
啬,2,7
滠,44,7
鹧,20,7
訇,4,6
邴,55,5
劫,3,5
坑,28,5
邡,4,4
俯,79,4
舢,17,4
态,37,4
勾,7,3
谔,8,2
扈,16,2
荚,0,2
锯,14,2
诜,1,2
揖,8,2
粑,1,1
粗,2,1
诫,14,1
捏,0,1
屠,0,1
镚,16,0
邠,3,0
笪,1,0
鹗,2,0
龛,7,0
郄,1,0
畲,1,0
彖,2,0
帐,2,0
擢,6,0
